,individual,hinc,psize,ttme_air,invc_air,invt_air,gc_air,ttme_train,invc_train,invt_train,gc_train,ttme_bus,invc_bus,invt_bus,gc_bus,invc_car,invt_car,gc_car,mode_chosen
0,70.0,30.0,4.0,10.0,61.0,80.0,73.0,44.0,24.0,350.0,77.0,53.0,19.0,395.0,79.0,4.0,314.0,52.0,1.0
1,8.0,15.0,4.0,64.0,48.0,154.0,71.0,55.0,25.0,360.0,80.0,53.0,14.0,462.0,84.0,4.0,351.0,57.0,2.0
2,62.0,35.0,2.0,64.0,58.0,74.0,69.0,30.0,21.0,295.0,66.0,53.0,24.0,389.0,83.0,7.0,315.0,55.0,2.0
3,61.0,40.0,3.0,45.0,75.0,75.0,96.0,44.0,33.0,418.0,96.0,53.0,28.0,463.0,98.0,5.0,291.0,49.0,1.0
4,27.0,70.0,1.0,20.0,106.0,190.0,127.0,34.0,72.0,659.0,143.0,35.0,33.0,653.0,104.0,44.0,592.0,108.0,1.0
5,52.0,8.0,2.0,45.0,105.0,115.0,122.0,44.0,35.0,622.0,130.0,53.0,31.0,616.0,125.0,12.0,577.0,100.0,1.0
6,65.0,45.0,4.0,64.0,65.0,154.0,89.0,44.0,53.0,621.0,147.0,53.0,32.0,615.0,125.0,9.0,535.0,90.0,4.0
7,9.0,60.0,1.0,60.0,81.0,70.0,89.0,34.0,32.0,341.0,69.0,35.0,26.0,386.0,68.0,13.0,307.0,46.0,1.0
8,73.0,10.0,2.0,64.0,62.0,235.0,98.0,45.0,45.0,465.0,116.0,53.0,17.0,623.0,111.0,13.0,559.0,98.0,2.0
9,15.0,70.0,3.0,64.0,92.0,203.0,123.0,44.0,77.0,961.0,223.0,53.0,46.0,951.0,190.0,17.0,780.0,135.0,4.0
10,62.0,60.0,1.0,30.0,93.0,175.0,112.0,34.0,96.0,1030.0,208.0,35.0,51.0,1020.0,162.0,54.0,967.0,159.0,1.0
11,3.0,60.0,2.0,90.0,64.0,155.0,88.0,44.0,74.0,678.0,177.0,53.0,35.0,672.0,137.0,20.0,629.0,115.0,1.0
12,3.0,40.0,1.0,69.0,115.0,125.0,129.0,34.0,98.0,892.0,195.0,35.0,53.0,882.0,149.0,23.0,720.0,101.0,4.0
13,57.0,70.0,4.0,64.0,44.0,100.0,59.0,44.0,25.0,351.0,78.0,53.0,20.0,361.0,75.0,5.0,180.0,32.0,4.0
14,52.0,36.0,1.0,90.0,151.0,95.0,161.0,34.0,96.0,895.0,193.0,35.0,51.0,885.0,147.0,35.0,844.0,127.0,1.0
15,59.0,45.0,3.0,64.0,86.0,167.0,112.0,44.0,75.0,972.0,222.0,53.0,44.0,962.0,190.0,13.0,870.0,145.0,2.0
16,29.0,32.0,1.0,69.0,111.0,276.0,141.0,34.0,93.0,1047.0,207.0,30.0,35.0,860.0,128.0,42.0,1008.0,151.0,4.0
17,58.0,72.0,2.0,64.0,58.0,93.0,72.0,10.0,28.0,305.0,75.0,53.0,25.0,346.0,78.0,9.0,316.0,57.0,2.0
18,67.0,40.0,1.0,45.0,126.0,135.0,141.0,34.0,70.0,596.0,135.0,35.0,31.0,590.0,95.0,32.0,577.0,95.0,4.0
19,69.0,60.0,2.0,90.0,64.0,155.0,88.0,44.0,74.0,678.0,177.0,53.0,35.0,672.0,137.0,20.0,629.0,115.0,1.0
20,11.0,35.0,3.0,64.0,94.0,163.0,119.0,25.0,68.0,755.0,183.0,53.0,47.0,895.0,183.0,16.0,879.0,149.0,4.0
